ARHU 101,The Art of Interpretation: Written Texts
ARHU 102,The Art of Interpretation: Images and Sound
BEHAVSCI 101,Introduction to Behavioral Science
BEHAVSCI 102,Mechanisms of Human Behavior
BEHAVSCI 201,Individuals and Their Decisions
BEHAVSCI 202,"Institutions, Groups, and Society"
BEHAVSCI 203,Comparative Analysis of Behavior
BEHAVSCI 205,Systems and Circuits
BEHAVSCI 301,Computational Neuroscience
BEHAVSCI 401,Moving Beyond Nudges
BEHAVSCI 402,Judgement and Decision Making
BIOL 110,Integrated Science - Biology
BIOL 201,Cell and Molecular Biology
BIOL 202,Genetics and Evolution
BIOL 203,"Molecular, Behavioral and Social Evolution: Darwin's Theories Between Science and Culture"
BIOL 208,General Ecology
BIOL 212,Microbiology
BIOL 304,Molecular Genetic Analysis
BIOL 305,Introduction to Biochemistry
BIOL 306,Cell Signaling and Diseases
BIOL 307,Cancer Genetics
BIOL 308,Evolution of Infectious Diseases
BIOL 310,Developmental Biology
BIOL 311,Biogeochemistry
BIOL 312,Ecophysiology
BIOL 313,Ecosystem Service
BIOL 314,Computational Biology and Bioinformatics
BIOL 315,Experimental Molecular Biology
BIOL 316,Quantitative Physiology
BIOL 317,Systems Biology
BIOL 318,Food Web Ecology
BIOL 319,Global Change Biology
BIOL 320,Bioethics
BIOL 403,Experimental Methods in Functional Genomics
BIOL 404,Genomics of Adaptation
BIOL 405,Microbial Ecology
BIOL 407,Population Genomics and Molecular Evolution
CAPSTONE 495,Signature Work Capstone I
CAPSTONE 496,Signature Work Capstone II
CHEM 110,Integrated Science - Chemistry
CHEM 150,General Chemistry II
CHEM 201,Organic Chemistry I
CHEM 202,Organic Chemistry II
CHEM 210,General Chemistry II
CHEM 301,Elements of Physical Chemistry
CHEM 315,Aqueous Geochemistry
CHEM 401,Analytical Chemistry
CHEM 402,Inorganic Chemistry
CHEM 403,Advanced Topics in Physical Chemistry
CHEM 410,Introduction to Materials Chemistry
CHINESE 101A,Beginning Chinese 1 - A
CHINESE 101B,Beginning Chinese 1 - B
CHINESE 102A,Beginning Chinese 2 - A
CHINESE 102B,Beginning Chinese 2 - B
CHINESE 201A,Intermediate Chinese 1 - A
CHINESE 201B,Intermediate Chinese 1 - B
CHINESE 202A,Intermediate Chinese 2 - A
CHINESE 202B,Intermediate Chinese 2 - B
CHINESE 231A,Second Year Chinese for Heritage Learners 1 - A
CHINESE 231B,Second Year Chinese for Heritage Learners 1 - B
CHINESE 232A,Second Year Chinese for Heritage Learners 2 - A
CHINESE 232B,Second Year Chinese for Heritage Learners 2 - B
CHINESE 301A,Advanced Intermediate Chinese 1 - A
CHINESE 301B,Advanced Intermediate Chinese 1 - B
CHINESE 302A,Advanced Intermediate Chinese 2 - A
CHINESE 302B,Advanced Intermediate Chinese 2 - B
CHINESE 401A,Advanced Chinese - Issues in Modern China 1 - A
CHINESE 401B,Advanced Chinese - Issues in Modern China 1 - B
CHINESE 402A,Advanced Chinese - Issues in Modern China 2 - A
CHINESE 402B,Advanced Chinese - Issues in Modern China 2 - B
CHINESE 406,Debating Issues in Contemporary China
CHINESE 408,Translation Workshop – Chinese/English English/Chinese
CHINESE 409,Chinese Book Club
CHINESE 410,Public Speaking in Chinese
CHINESE 411,Professional Networking in China
CHINESE 412,Chinese Across the Curriculum: Independent Research
CHINESE 413,Advanced Chinese – New Media Narratives
CHINESE 414,Reading Chinese Love Stories in Novels and Memoirs
CHINESE 415,Watching Forbidden Love in Chinese Films
CHINESE 417,Li Yu and Seventeenth-Century Chinese Pop Culture
CHSC 103,Selected Readings of Chinese Classics
CHSC 104,Trends and Policies
CHSC 107,An Introduction to Chinese Culture
COMPSCI 101,Introduction to Computer Science
COMPSCI 201,Introduction to Programming and Data Structures
COMPSCI 203,Discrete Math for Computer Science
COMPSCI 205,Computer Organization and Programming
COMPSCI 206,Computational Microeconomics
COMPSCI 207,Image Data Science
COMPSCI 301,Algorithms and Databases
COMPSCI 302,Computer Vision
COMPSCI 304,Speech Recognition
COMPSCI 306,Introduction to Operating Systems
COMPSCI 308,Design and Analysis of Algorithms
COMPSCI 309,Elements of Machine Learning
COMPSCI 311,Computer Network Architecture
COMPSCI 320,Software Reliability
COMPSCI 401,Cloud Computing
COMPSCI 402,Artificial Intelligence
CULANTH 101,Introduction to Cultural Anthropology
CULANTH 201,New Media and Society
CULANTH 202,Culture and Industry
CULANTH 205,"Food, Ethnicity and Globalization"
CULANTH 206,The Ethnography of China: New Directions
CULANTH 207,Cultures of New Media
CULANTH 208,Global Migration and Ethics
CULANTH 211,"Gender, Mobility and Labor"
CULANTH 214,Authoritarianism and the struggle for democracy in Latin America
CULANTH 302,Field Methods
CULANTH 304,The Anthropology of Doing Good: China and Beyond
CULANTH 306,"Borders, Boundaries and Ethnic Peoples in China"
CULANTH 314,Refugees and the Biopolitics of Citizenship
CULANTH 315,Why Be a Bandit?
CULANTH 405,Medical Anthropology
CULMOVE 101,Cultures of Globalization
CULMOVE 115,Displacement and Identity: Stories of Diasporic Migration in China and the World
CULMOVE 201,"Migration, Inequality and Culture"
CULMOVE 202,Culture and Social Movements
CULMOVE 203,"Wealth, Inequality and Power"
CULMOVE 206,Ethnic and Religious Diversity in the Middle East
CULMOVE 301,Social Science Perspectives on China: From the Socialist Past to the Global Present
CULMOVE 302,Culture and Social Movements
CULMOVE 390,Junior Seminar: Advanced Topics
CULMOVE 490,Senior Seminar: Advanced Topics
DKU 101,Succeeding in a Liberal Arts and Science College
EAP 101A,Writing about Language Learning - A
EAP 101B,Writing about Language Learning - B
EAP 102A,Writing about Culture Learning - A
EAP 102B,Writing about Culture Learning - B
EAP 110,Presenting Ideas to Global Audiences
ECON 101,Economics Principles
ECON 106,Sustainable Investing
ECON 201,Intermediate Microeconomics I
ECON 202,Intermediate Microeconomics II
ECON 203,Introduction to Econometrics
ECON 204,Intermediate Macroeconomics
ECON 206,Computational Microeconomics
ECON 207,Survey of Economic Policy
ECON 211,Intelligent Economics: An Explainable AI approach
ECON 212,Comparative Economic History
ECON 301,Health Economics
ECON 302,Environmental Economics  Policy
ECON 303,Financial Institutions
ECON 305,Mathematical Economics
ECON 309,Behavioral Finance
ECON 310,Urban Economics
ECON 314,International Trade
ECON 315,Economics of the Public Sector
ECON 317,Quantitative Finance
ECON 333,Social and Economic Networks
ECON 404,"Environmental Justice: The Economics of Race, Place and Pollution"
ECON 405,Game Theory
ENVIR 101,Introduction to Environmental Sciences
ENVIR 102,Dynamic Earth and Oceans: Physical and Biological Sciences for the Environment
ENVIR 201,Applied Environmental Science and Policy
ENVIR 202,Biodiversity and Conservation
ENVIR 203,The Theory and Practice of Sustainability
ENVIR 206,Energy and the Environment
ENVIR 208,Environmental Data Analytics
ENVIR 301,International Environmental Policy
ENVIR 302,Environmental Economics  Policy
ENVIR 303,Climate Change and Society in China
ENVIR 304,Environmental Chemistry and Toxicology
ENVIR 305,Environment and Development Economics in Developing Countries
ENVIR 306,Water Pollution
ENVIR 311,Biogeochemistry
ENVIR 313,Ecosystem Service
ENVIR 315,Aqueous Geochemistry
ENVIR 402,Chemical Transformation of Environmental Contaminants
ENVIR 403,Energy Economics and Policy
ENVIR 404,"Environmental Justice: The Economics of Race, Place and Pollution"
ETHLDR 101,Ethics and Leadership
ETHLDR 108,"Democracy and Inclusion: Hopes, Prospects, Dilemmas"
ETHLDR 201,"Ethics, Citizenship and the Examined Life"
ETHLDR 202,"Ethics, Markets, and Politics"
ETHLDR 203,Conceptions of Democracy and Meritocracy
ETHLDR 204,Environmental Ethics
ETHLDR 205,Trust and Cross-Cultural Leadership
ETHLDR 206,Global Justice and Health Care
ETHLDR 209,The Psychology of Justice
ETHLDR 301,Ethics of Nudging
ETHLDR 302,The Sociology of Morality and Politics
